Date : 2024-08-01 12:12:32
Directory : c:\xampp\htdocs
Total : 536 files,  105411 codes, 19972 comments, 15224 blanks, all 140607 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\Funciones\Representante\menu-acciones-representante.php                                        | PHP        |          8 |          0 |          7 |         15 |
| c:\xampp\htdocs\Funciones\Representante\reporte-aceptacion-hogar.php                                           | PHP        |         95 |          0 |          5 |        100 |
| c:\xampp\htdocs\Funciones\Representante\reporte-aceptacion.php                                                 | PHP        |         85 |          3 |         26 |        114 |
| c:\xampp\htdocs\Funciones\Representante\reporte-aceptacion2.php                                                | PHP        |         46 |          1 |         16 |         63 |
| c:\xampp\htdocs\Funciones\Representante\reporte-estudio-hogar.php                                              | PHP        |         95 |          0 |          5 |        100 |
| c:\xampp\htdocs\Funciones\Representante\reporte-estudio.php                                                    | PHP        |         84 |          3 |         26 |        113 |
| c:\xampp\htdocs\Funciones\Representante\reporte-estudio2.php                                                   | PHP        |         43 |          1 |         16 |         60 |
| c:\xampp\htdocs\Funciones\Representante\reporte-retiro-hogar.php                                               | PHP        |        111 |          0 |          5 |        116 |
| c:\xampp\htdocs\Funciones\Representante\reporte-retiro.php                                                     | PHP        |         83 |          1 |         23 |        107 |
| c:\xampp\htdocs\Funciones\Representante\reporte-retiro2.php                                                    | PHP        |         48 |          1 |         16 |         65 |
| c:\xampp\htdocs\Funciones\Respaldo\batalla_de_niquitao_20240213-203100\batalla_de_niquitao_20240213-203100.sql | SQL        |        545 |        174 |        116 |        835 |
| c:\xampp\htdocs\Funciones\Respaldo\hogar-respaldos.php                                                         | PHP        |        166 |          0 |          7 |        173 |
| c:\xampp\htdocs\Funciones\Respaldo\menu-acciones-respaldo.php                                                  | PHP        |          8 |          0 |          7 |         15 |
| c:\xampp\htdocs\Funciones\Respaldo\respaldo-script.php                                                         | PHP        |         22 |          4 |          8 |         34 |
| c:\xampp\htdocs\Funciones\Respaldo\restauracion-script.php                                                     | PHP        |         22 |          7 |         11 |         40 |
| c:\xampp\htdocs\Funciones\Seccion\agregar-guia.php                                                             | PHP        |        152 |          0 |          5 |        157 |
| c:\xampp\htdocs\Funciones\Seccion\agregar-salones.php                                                          | PHP        |         99 |          0 |          5 |        104 |
| c:\xampp\htdocs\Funciones\Seccion\agregar-secciones.php                                                        | PHP        |         99 |          0 |          4 |        103 |
| c:\xampp\htdocs\Funciones\Seccion\borrar-salon.php                                                             | PHP        |         22 |          0 |          9 |         31 |
| c:\xampp\htdocs\Funciones\Seccion\borrar-seccion.php                                                           | PHP        |         22 |          0 |          9 |         31 |
| c:\xampp\htdocs\Funciones\Seccion\decision-agregar-secciones.php                                               | PHP        |        143 |          0 |          3 |        146 |
| c:\xampp\htdocs\Funciones\Seccion\decision-eliminar-secciones.php                                              | PHP        |        143 |          0 |          3 |        146 |
| c:\xampp\htdocs\Funciones\Seccion\eliminar-salones.php                                                         | PHP        |        111 |          0 |          5 |        116 |
| c:\xampp\htdocs\Funciones\Seccion\eliminar-secciones.php                                                       | PHP        |        111 |          0 |          5 |        116 |
| c:\xampp\htdocs\Funciones\Seccion\hogar-secciones.php                                                          | PHP        |        141 |          0 |          6 |        147 |
| c:\xampp\htdocs\Funciones\Seccion\ingresar-salon.php                                                           | PHP        |         20 |          1 |          8 |         29 |
| c:\xampp\htdocs\Funciones\Seccion\ingresar-secciones.php                                                       | PHP        |         27 |          1 |         10 |         38 |
| c:\xampp\htdocs\Funciones\Seccion\menu-acciones-seccion.php                                                    | PHP        |          8 |          0 |          7 |         15 |
| c:\xampp\htdocs\Funciones\Soporte\menu-acciones-soporte.php                                                    | PHP        |          8 |          0 |          7 |         15 |
| c:\xampp\htdocs\Funciones\Soporte\soporte.php                                                                  | PHP        |        252 |          0 |          7 |        259 |
| c:\xampp\htdocs\Funciones\botones-laterales.php                                                                | PHP        |         64 |          9 |         35 |        108 |
| c:\xampp\htdocs\Funciones\menu-contextual.php                                                                  | PHP        |         81 |          6 |         19 |        106 |
| c:\xampp\htdocs\Funciones\menu-lateral-2.php                                                                   | PHP        |         11 |          0 |          6 |         17 |
| c:\xampp\htdocs\Funciones\menu-lateral.php                                                                     | PHP        |         24 |          0 |         19 |         43 |
| c:\xampp\htdocs\Funciones\menu-superior-1.php                                                                  | PHP        |         12 |          0 |          5 |         17 |
| c:\xampp\htdocs\Funciones\menu-superior-2.php                                                                  | PHP        |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\Funciones\pie1.php                                                                             | PHP        |          7 |          0 |          0 |          7 |
| c:\xampp\htdocs\Funciones\pie2.php                                                                             | PHP        |         20 |          0 |          2 |         22 |
| c:\xampp\htdocs\Funciones\pie3.php                                                                             | PHP        |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\buscar-mision-vision.php                                                                       | PHP        |         71 |          1 |          8 |         80 |
| c:\xampp\htdocs\con_db.php                                                                                     | PHP        |          4 |          0 |          3 |          7 |
| c:\xampp\htdocs\controlador\cierre_sesion.php                                                                  | PHP        |          5 |          0 |          2 |          7 |
| c:\xampp\htdocs\controlador\ingresar_usuario.php                                                               | PHP        |         37 |          2 |          8 |         47 |
| c:\xampp\htdocs\controlador\inicio_sesion.php                                                                  | PHP        |         38 |          0 |         11 |         49 |
| c:\xampp\htdocs\controlador\recuperar_usuario.php                                                              | PHP        |         88 |          1 |          9 |         98 |
| c:\xampp\htdocs\controlador\verificacion_admin.php                                                             | PHP        |          9 |          0 |          6 |         15 |
| c:\xampp\htdocs\controlador\verificacion_sesion.php                                                            | PHP        |         18 |          0 |         12 |         30 |
| c:\xampp\htdocs\css\Botones-AMC.css                                                                            | CSS        |        171 |          5 |         18 |        194 |
| c:\xampp\htdocs\css\Estilo-AMC.css                                                                             | CSS        |        230 |         25 |         38 |        293 |
| c:\xampp\htdocs\css\Iconos-Central-AMC.css                                                                     | CSS        |         17 |          3 |          1 |         21 |
| c:\xampp\htdocs\css\Iconos-Inferior-AMC.css                                                                    | CSS        |          3 |          3 |          1 |          7 |
| c:\xampp\htdocs\css\Iconos-Lateral-AMC.css                                                                     | CSS        |         23 |          3 |          2 |         28 |
| c:\xampp\htdocs\css\Iconos-Menu-AMC.css                                                                        | CSS        |         17 |          3 |          3 |         23 |
| c:\xampp\htdocs\css\Iconos-Menu-IA-AMC.css                                                                     | CSS        |        144 |          9 |         48 |        201 |
| c:\xampp\htdocs\css\Iconos-Superior-AMC.css                                                                    | CSS        |         40 |          6 |          2 |         48 |
| c:\xampp\htdocs\css\Iconos-index-AMC.css                                                                       | CSS        |         17 |          0 |          1 |         18 |
| c:\xampp\htdocs\css\Login_AMC.css                                                                              | CSS        |        246 |          1 |         19 |        266 |
| c:\xampp\htdocs\css\PHP_AMC.css                                                                                | CSS        |         44 |          0 |          4 |         48 |
| c:\xampp\htdocs\css\PHP_Login.css                                                                              | CSS        |         36 |          0 |          4 |         40 |
| c:\xampp\htdocs\css\blur.css                                                                                   | CSS        |         78 |          6 |         11 |         95 |
| c:\xampp\htdocs\css\bootstrap.min.css                                                                          | CSS        |          1 |          4 |          0 |          5 |
| c:\xampp\htdocs\css\bordes.css                                                                                 | CSS        |         27 |          0 |          8 |         35 |
| c:\xampp\htdocs\css\busqueda.css                                                                               | CSS        |         22 |          1 |          2 |         25 |
| c:\xampp\htdocs\css\cursores.css                                                                               | CSS        |         63 |          3 |         23 |         89 |
| c:\xampp\htdocs\css\estilo-reporte.php                                                                         | PHP        |        104 |          0 |         32 |        136 |
| c:\xampp\htdocs\css\font-awesome.min.css                                                                       | CSS        |          1 |          3 |          0 |          4 |
| c:\xampp\htdocs\css\imagenes.css                                                                               | CSS        |        377 |         17 |        115 |        509 |
| c:\xampp\htdocs\css\input.css                                                                                  | CSS        |         38 |          1 |          7 |         46 |
| c:\xampp\htdocs\css\menu-contextual.css                                                                        | CSS        |        103 |          2 |         20 |        125 |
| c:\xampp\htdocs\css\navegacion-horizontal.css                                                                  | CSS        |        101 |          2 |         13 |        116 |
| c:\xampp\htdocs\css\navegacion-vertical.css                                                                    | CSS        |         92 |          1 |         14 |        107 |
| c:\xampp\htdocs\css\pie.css                                                                                    | CSS        |        130 |          2 |         18 |        150 |
| c:\xampp\htdocs\css\reporte.css                                                                                | CSS        |        112 |          0 |         25 |        137 |
| c:\xampp\htdocs\css\scrolls.css                                                                                | CSS        |         59 |          8 |         14 |         81 |
| c:\xampp\htdocs\css\style.css                                                                                  | CSS        |        437 |         25 |        120 |        582 |
| c:\xampp\htdocs\css\texto.css                                                                                  | CSS        |         48 |          2 |         10 |         60 |
| c:\xampp\htdocs\css\transicion.css                                                                             | CSS        |         27 |          0 |          3 |         30 |
| c:\xampp\htdocs\css\z-pictures.css                                                                             | CSS        |        246 |          0 |          8 |        254 |
| c:\xampp\htdocs\dompdf\AUTHORS.md                                                                              | Markdown   |         17 |          0 |          8 |         25 |
| c:\xampp\htdocs\dompdf\README.md                                                                               | Markdown   |        168 |          0 |         65 |        233 |
| c:\xampp\htdocs\dompdf\autoload.inc.php                                                                        | PHP        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\dompdf\vendor\autoload.php                                                                     | PHP        |          3 |          1 |          4 |          8 |
| c:\xampp\htdocs\dompdf\vendor\composer\ClassLoader.php                                                         | PHP        |        276 |        240 |         57 |        573 |
| c:\xampp\htdocs\dompdf\vendor\composer\InstalledVersions.php                                                   | PHP        |        174 |        129 |         48 |        351 |
| c:\xampp\htdocs\dompdf\vendor\composer\autoload_classmap.php                                                   | PHP        |          7 |          1 |          4 |         12 |
| c:\xampp\htdocs\dompdf\vendor\composer\autoload_namespaces.php                                                 | PHP        |          5 |          1 |          4 |         10 |
| c:\xampp\htdocs\dompdf\vendor\composer\autoload_psr4.php                                                       | PHP        |         10 |          1 |          4 |         15 |
| c:\xampp\htdocs\dompdf\vendor\composer\autoload_real.php                                                       | PHP        |         41 |          4 |         13 |         58 |
| c:\xampp\htdocs\dompdf\vendor\composer\autoload_static.php                                                     | PHP        |         58 |          1 |          8 |         67 |
| c:\xampp\htdocs\dompdf\vendor\composer\installed.json                                                          | JSON       |        293 |          0 |          1 |        294 |
| c:\xampp\htdocs\dompdf\vendor\composer\installed.php                                                           | PHP        |         68 |          0 |          1 |         69 |
| c:\xampp\htdocs\dompdf\vendor\composer\platform_check.php                                                      | PHP        |         21 |          1 |          5 |         27 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\AUTHORS.md                                                         | Markdown   |         17 |          0 |          8 |         25 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\README.md                                                          | Markdown   |        168 |          0 |         65 |        233 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\composer.json                                                      | JSON       |         47 |          0 |          1 |         48 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\lib\Cpdf.php                                                       | PHP        |      3,949 |      1,612 |        941 |      6,502 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\lib\fonts\Helvetica-Bold.afm.json                                  | JSON       |        569 |          0 |          0 |        569 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\lib\fonts\Helvetica-BoldOblique.afm.json                           | JSON       |        569 |          0 |          0 |        569 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\lib\fonts\Helvetica.afm.json                                       | JSON       |        569 |          0 |          0 |        569 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\lib\fonts\Times-Bold.afm.json                                      | JSON       |        569 |          0 |          0 |        569 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\lib\fonts\Times-Roman.afm.json                                     | JSON       |        569 |          0 |          0 |        569 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\lib\fonts\installed-fonts.dist.json                                | JSON       |         80 |          0 |          0 |         80 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\lib\fonts\mustRead.html                                            | HTML       |         17 |          0 |          0 |         17 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\lib\res\broken_image.svg                                           | XML        |          8 |          0 |          0 |          8 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\lib\res\html.css                                                   | CSS        |        391 |         35 |         93 |        519 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Adapter\CPDF.php                                               | PHP        |        563 |        237 |        145 |        945 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Adapter\GD.php                                                 | PHP        |        535 |        229 |        166 |        930 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Adapter\PDFLib.php                                             | PHP        |        885 |        339 |        227 |      1,451 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Canvas.php                                                     | PHP        |         46 |        389 |         43 |        478 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\CanvasFactory.php                                              | PHP        |         29 |         24 |          6 |         59 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Cellmap.php                                                    | PHP        |        592 |        254 |        154 |      1,000 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Css\AttributeTranslator.php                                    | PHP        |        423 |        145 |         85 |        653 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Css\Color.php                                                  | PHP        |        272 |         32 |         36 |        340 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Css\Style.php                                                  | PHP        |      2,178 |      1,102 |        464 |      3,744 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Css\Stylesheet.php                                             | PHP        |        939 |        471 |        246 |      1,656 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Dompdf.php                                                     | PHP        |        696 |        592 |        183 |      1,471 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Exception.php                                                  | PHP        |          9 |         16 |          3 |         28 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Exception\ImageException.php                                   | PHP        |         10 |         16 |          5 |         31 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FontMetrics.php                                                | PHP        |        332 |        215 |         89 |        636 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Frame.php                                                      | PHP        |        678 |        354 |        186 |      1,218 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameDecorator\AbstractFrameDecorator.php                      | PHP        |        545 |        229 |        150 |        924 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameDecorator\Block.php                                       | PHP        |        136 |         84 |         37 |        257 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameDecorator\Image.php                                       | PHP        |         57 |         48 |         16 |        121 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameDecorator\Inline.php                                      | PHP        |         67 |         36 |         19 |        122 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameDecorator\ListBullet.php                                  | PHP        |         50 |         48 |         20 |        118 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameDecorator\ListBulletImage.php                             | PHP        |         57 |         40 |         16 |        113 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameDecorator\NullFrameDecorator.php                          | PHP        |         16 |         15 |          3 |         34 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameDecorator\Page.php                                        | PHP        |        394 |        237 |        123 |        754 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameDecorator\Table.php                                       | PHP        |        193 |         91 |         60 |        344 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameDecorator\TableCell.php                                   | PHP        |         82 |         41 |         21 |        144 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameDecorator\TableRow.php                                    | PHP        |         11 |         15 |          3 |         29 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameDecorator\TableRowGroup.php                               | PHP        |         37 |         27 |         11 |         75 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameDecorator\Text.php                                        | PHP        |         88 |         77 |         27 |        192 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\AbstractFrameReflower.php                        | PHP        |        416 |        189 |        101 |        706 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\Block.php                                        | PHP        |        642 |        161 |        146 |        949 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\Image.php                                        | PHP        |        129 |         55 |         30 |        214 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\Inline.php                                       | PHP        |        114 |         46 |         29 |        189 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\ListBullet.php                                   | PHP        |         26 |         18 |          8 |         52 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\NullFrameReflower.php                            | PHP        |         15 |         17 |          6 |         38 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\Page.php                                         | PHP        |        110 |         55 |         35 |        200 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\Table.php                                        | PHP        |        326 |        103 |         95 |        524 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\TableCell.php                                    | PHP        |         96 |         31 |         35 |        162 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\TableRow.php                                     | PHP        |         45 |         24 |         14 |         83 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\TableRowGroup.php                                | PHP        |         36 |         22 |         14 |         72 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\FrameReflower\Text.php                                         | PHP        |        370 |        154 |         88 |        612 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Frame\Factory.php                                              | PHP        |        172 |         51 |         40 |        263 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Frame\FrameListIterator.php                                    | PHP        |         49 |         39 |         13 |        101 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Frame\FrameTree.php                                            | PHP        |        173 |        118 |         34 |        325 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Frame\FrameTreeIterator.php                                    | PHP        |         43 |         34 |         12 |         89 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Helpers.php                                                    | PHP        |        711 |        258 |        125 |      1,094 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Image\Cache.php                                                | PHP        |        192 |         62 |         36 |        290 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\JavascriptEmbedder.php                                         | PHP        |         21 |         24 |          7 |         52 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\LineBox.php                                                    | PHP        |        215 |        125 |         73 |        413 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Options.php                                                    | PHP        |        562 |        488 |        110 |      1,160 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\PhpEvaluator.php                                               | PHP        |         28 |         26 |          9 |         63 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\Absolute.php                                        | PHP        |         74 |         41 |         14 |        129 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\AbstractPositioner.php                              | PHP        |         21 |         21 |          7 |         49 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\Block.php                                           | PHP        |         23 |         10 |          8 |         41 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\Fixed.php                                           | PHP        |         66 |         16 |         11 |         93 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\Inline.php                                          | PHP        |         27 |         17 |          9 |         53 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\ListBullet.php                                      | PHP        |         19 |         18 |          6 |         43 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\NullPositioner.php                                  | PHP        |         10 |         13 |          4 |         27 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\TableCell.php                                       | PHP        |         13 |         13 |          4 |         30 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Positioner\TableRow.php                                        | PHP        |         17 |         13 |          5 |         35 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer.php                                                   | PHP        |        181 |         56 |         55 |        292 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer\AbstractRenderer.php                                  | PHP        |        780 |        289 |        176 |      1,245 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer\Block.php                                             | PHP        |         55 |         16 |         18 |         89 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer\Image.php                                             | PHP        |         62 |         14 |         15 |         91 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer\Inline.php                                            | PHP        |         84 |         19 |         24 |        127 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer\ListBullet.php                                        | PHP        |        172 |         28 |         36 |        236 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer\TableCell.php                                         | PHP        |        123 |         29 |         37 |        189 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer\TableRowGroup.php                                     | PHP        |         19 |         13 |          9 |         41 |
| c:\xampp\htdocs\dompdf\vendor\dompdf\dompdf\src\Renderer\Text.php                                              | PHP        |         92 |         33 |         34 |        159 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\README.md                                                      | Markdown   |        207 |          0 |         64 |        271 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\RELEASE.md                                                     | Markdown   |        115 |          0 |         43 |        158 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\UPGRADING.md                                                   | Markdown   |         12 |          0 |         10 |         22 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\bin\entities.php                                               | PHP        |         16 |          6 |          5 |         27 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\composer.json                                                  | JSON       |         40 |          0 |          1 |         41 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5.php                                                  | PHP        |         97 |        123 |         27 |        247 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Elements.php                                         | PHP        |        420 |        170 |         30 |        620 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Entities.php                                         | PHP        |      2,230 |          4 |          3 |      2,237 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Exception.php                                        | PHP        |          5 |          3 |          3 |         11 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\InstructionProcessor.php                             | PHP        |          6 |         33 |          3 |         42 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\CharacterReference.php                        | PHP        |         25 |         29 |          8 |         62 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\DOMTreeBuilder.php                            | PHP        |        398 |        182 |        126 |        706 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\EventHandler.php                              | PHP        |         17 |         84 |         14 |        115 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\FileInputStream.php                           | PHP        |         10 |         20 |          4 |         34 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\InputStream.php                               | PHP        |         12 |         67 |          9 |         88 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\ParseError.php                                | PHP        |          5 |          3 |          3 |         11 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\README.md                                     | Markdown   |         36 |          0 |         18 |         54 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\Scanner.php                                   | PHP        |        167 |        196 |         54 |        417 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\StringInputStream.php                         | PHP        |        133 |        160 |         39 |        332 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\Tokenizer.php                                 | PHP        |        666 |        361 |        188 |      1,215 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\TreeBuildingRules.php                         | PHP        |         95 |         21 |         12 |        128 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Parser\UTF8Utils.php                                 | PHP        |         61 |         99 |         18 |        178 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Serializer\HTML5Entities.php                         | PHP        |      1,517 |         14 |          3 |      1,534 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Serializer\OutputRules.php                           | PHP        |        344 |        142 |         68 |        554 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Serializer\README.md                                 | Markdown   |         22 |          0 |         11 |         33 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Serializer\RulesInterface.php                        | PHP        |         13 |         77 |         10 |        100 |
| c:\xampp\htdocs\dompdf\vendor\masterminds\html5\src\HTML5\Serializer\Traverser.php                             | PHP        |         76 |         51 |         16 |        143 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\.github\workflows\phpunit.yml                                 | YAML       |         35 |          0 |         10 |         45 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\README.md                                                     | Markdown   |         22 |          0 |          7 |         29 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\bower.json                                                    | JSON       |         23 |          0 |          0 |         23 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\composer.json                                                 | JSON       |         32 |          0 |          1 |         33 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\index.php                                                     | PHP        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\AdobeFontMetrics.php                              | PHP        |        155 |         14 |         49 |        218 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Autoloader.php                                    | PHP        |         19 |         19 |          5 |         43 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\BinaryStream.php                                  | PHP        |        291 |         86 |         73 |        450 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\EOT\File.php                                      | PHP        |         68 |         70 |         22 |        160 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\EOT\Header.php                                    | PHP        |         78 |         15 |         20 |        113 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\EncodingMap.php                                   | PHP        |         19 |         11 |          8 |         38 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Exception\FontNotFoundException.php               | PHP        |          9 |          0 |          2 |         11 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Font.php                                          | PHP        |         53 |         18 |         19 |         90 |
| c:\xampp\htdocs\dompdf\vendor\phenx\php-font-lib\src\FontLib\Glyph\Outline.php                                 | PHP        |         57 |         32 |         21 |        110 |
